battery_power,n_cores,ram,clock_speed,internal_memory,bluetooh,wifi,touch_screen,front_camera_resolution,primary_camera_resolution,mobile_depth,mobile_width,screen_height,screen_width,screen_resolution_height,screen_resolution_width,four_g,five_g,dual_sim,talk_time,price_level
1312,6,2867,0.8,24,1,0,1,0,0,0.9,134,14,6,115,697,1,0,1,17,3
793,4,3139,1.2,38,0,1,1,1,7,0.6,176,6,1,1226,1815,1,1,1,12,3
1219,5,705,1.0,17,0,1,1,0,4,0.7,196,11,3,473,1022,0,0,1,6,0
516,1,3731,0.7,30,1,1,1,1,12,0.3,138,8,0,126,1951,0,0,1,15,2
1834,4,2736,0.6,40,0,0,1,7,11,0.1,99,13,10,333,772,1,1,0,16,3
961,8,2782,1.4,57,1,1,1,3,11,0.8,84,18,9,839,1434,1,1,1,7,2
742,3,292,0.5,36,1,1,1,0,1,0.7,139,8,0,1161,1288,1,1,0,6,0
1721,4,707,0.5,33,1,1,1,4,5,0.5,128,19,2,871,1048,1,1,1,5,0
1321,2,1464,1.3,63,1,1,1,1,11,0.4,109,7,6,817,941,1,1,0,14,1
1308,1,488,1.3,46,0,0,1,8,12,0.9,199,5,3,275,989,0,0,1,9,0
765,7,1066,1.9,18,0,0,1,0,0,0.4,153,11,1,77,596,1,1,0,8,0
1065,2,3078,2.8,14,1,1,0,0,2,0.9,95,19,1,188,928,1,0,0,18,2
1413,5,2973,0.5,45,1,1,0,4,6,0.4,104,17,8,1949,1994,1,1,1,15,3
1701,2,1846,0.6,46,1,0,1,13,3,0.9,159,11,0,364,1950,1,1,0,10,3
963,3,2722,0.5,60,0,0,0,1,3,0.8,156,12,6,742,821,1,1,0,16,2
1084,3,1945,2.6,40,1,0,1,3,11,0.9,107,15,4,322,771,1,1,0,10,1
1494,5,3208,1.6,62,0,0,0,3,4,0.8,158,11,5,449,790,1,1,0,7,3
1772,8,1834,0.5,64,1,1,1,3,15,0.7,116,5,2,270,545,0,0,1,20,1
1995,8,3484,2.8,48,1,1,0,14,20,0.1,121,11,13,385,1316,1,1,0,16,3
645,4,3615,2.5,63,0,1,0,10,14,1.0,174,18,8,278,584,1,1,0,13,2
814,7,1944,1.1,41,1,0,0,2,10,0.8,177,9,6,1092,1406,1,0,1,12,1
1521,1,1887,1.6,62,1,0,0,5,3,0.6,143,5,2,385,1630,1,1,0,19,3
1804,7,3472,0.5,22,0,1,0,9,19,0.6,153,9,1,1158,1244,1,1,0,20,3
1619,4,3302,1.2,12,0,1,1,0,6,1.0,190,11,0,777,1119,1,1,0,20,3
1322,1,3684,1.5,2,0,0,1,1,3,0.1,163,15,8,443,708,1,1,1,6,3
1106,3,2674,1.9,54,1,1,0,4,9,0.7,107,9,3,614,1212,1,0,0,9,2
1552,2,2719,2.8,3,1,0,1,2,9,0.4,84,12,2,1109,1781,1,0,1,15,2
1063,6,2668,2.0,27,0,0,0,0,7,0.2,86,12,5,201,582,0,0,0,19,2
1918,1,435,2.8,22,1,1,1,0,5,0.3,134,9,6,381,1203,0,1,0,6,1
1692,4,838,0.5,36,0,1,0,9,20,0.1,100,14,1,786,872,0,0,0,15,0
1108,2,3264,2.9,52,1,1,1,10,12,0.1,183,16,1,130,1706,0,0,0,13,3
1577,3,752,2.8,30,1,0,0,0,3,0.3,185,6,2,832,1033,1,1,1,10,0
1320,8,905,2.7,39,1,1,1,13,19,0.5,148,12,11,822,1449,1,0,0,17,0
1286,2,3317,1.1,46,0,0,1,1,0,0.3,197,8,0,820,1366,1,1,0,19,3
1099,3,1699,0.5,61,0,1,1,13,20,0.3,146,17,10,393,1096,1,1,0,3,1
1591,6,3703,2.2,49,1,0,1,3,7,0.4,154,17,6,1384,1883,1,1,0,20,3
1799,3,445,1.0,30,0,0,1,1,9,0.6,123,10,8,617,1386,1,1,0,10,0
658,7,3587,2.7,12,1,0,0,0,3,0.9,103,14,11,1156,1750,1,1,0,20,3
1667,2,2324,1.0,21,0,0,0,2,0,0.9,138,17,3,1211,1171,1,1,1,4,0
858,1,3978,2.2,50,0,0,1,1,2,0.1,84,17,16,528,1416,1,0,0,3,3
1845,2,1731,0.5,61,1,1,0,10,12,0.3,145,9,5,129,1350,0,0,1,6,1
958,4,1417,1.6,9,1,1,0,9,16,0.4,200,10,12,730,751,1,1,0,19,0
1161,8,3336,1.3,21,0,1,0,0,12,0.6,126,6,4,308,1169,1,1,1,14,3
1441,8,2317,2.1,3,0,1,0,11,17,0.1,118,16,4,577,1071,1,1,1,7,2
1935,5,455,0.5,61,0,1,0,0,9,0.6,146,9,6,806,860,0,1,0,9,0
1713,6,2072,2.2,20,0,1,1,2,0,0.9,123,15,10,1563,1803,0,0,0,7,3
1158,2,1542,2.1,29,0,1,0,1,18,0.7,123,15,9,311,1437,1,1,1,15,1
1569,4,1260,2.8,44,0,0,0,17,20,0.3,110,9,2,45,1942,1,0,1,17,1
1596,2,2493,2.9,7,0,1,1,7,9,0.7,149,14,12,169,1190,1,0,1,13,2
1073,7,2908,0.5,51,1,0,1,0,0,0.5,145,6,0,690,804,0,0,1,18,2
772,6,2677,1.6,61,1,0,0,13,11,0.1,136,19,15,1001,1052,1,0,0,8,2
797,3,2981,0.5,23,0,0,0,2,3,0.7,82,7,3,151,1629,1,1,1,14,2
853,5,2728,1.6,39,0,1,1,5,5,0.6,131,7,0,1273,1586,1,0,0,17,2
1568,8,508,0.5,33,1,1,1,16,20,1.0,150,5,1,413,654,1,0,0,6,0
1876,3,3315,2.8,57,0,0,1,1,4,0.4,179,12,2,235,585,1,0,1,18,2
532,5,728,0.8,8,1,0,1,3,10,0.1,193,13,5,1213,1354,1,0,1,8,0
1036,7,2101,2.4,39,1,0,1,0,3,0.2,119,10,7,373,926,0,0,0,2,1
534,5,3926,0.5,16,1,0,0,7,1,1.0,189,6,0,393,1988,1,1,0,20,3
1821,2,285,1.2,44,0,0,1,13,14,0.6,141,7,2,1208,1212,1,1,0,2,1
1086,5,3285,1.7,43,1,0,1,0,1,0.2,111,11,9,56,1850,1,1,1,18,2
961,6,2981,1.5,51,1,1,1,10,16,0.3,152,15,6,554,621,1,0,1,7,2
1018,5,3048,0.7,63,1,1,0,7,18,0.1,155,10,3,856,883,0,0,1,2,2
1403,5,3371,2.7,26,0,1,0,2,3,0.1,164,13,9,461,1251,1,1,0,9,3
587,1,2777,2.3,6,1,1,0,4,16,0.7,170,15,2,1117,1793,1,0,1,14,2
1778,6,3941,0.5,23,0,0,0,0,11,0.5,101,19,6,1028,1445,1,1,0,13,3
1589,5,3430,0.6,5,0,1,1,1,8,0.6,112,10,5,927,1397,1,0,0,19,3
874,1,582,1.3,8,0,0,0,5,20,0.5,185,6,4,442,1248,0,0,0,15,0
608,1,2517,0.5,5,1,1,1,3,0,0.9,94,16,3,4,1351,1,0,1,15,1
571,7,2598,1.6,35,0,0,1,8,20,0.2,186,13,5,177,1282,1,0,1,8,1
688,7,3745,2.5,57,0,0,1,0,3,0.8,131,17,1,426,1964,0,0,1,4,3
1821,1,756,0.9,12,1,1,1,1,18,0.3,114,7,4,97,1398,0,0,0,6,2
1172,1,1477,1.9,27,0,0,0,0,3,0.7,164,12,0,607,1092,1,1,0,6,1
1215,4,2632,1.0,16,0,1,0,4,8,0.1,130,7,1,454,1473,0,0,0,15,2
1714,2,3707,0.5,31,0,1,0,7,10,0.4,120,5,1,287,627,0,0,1,19,3
1552,6,2403,2.2,13,1,1,1,6,9,0.2,123,9,2,269,1026,1,1,0,9,2
1653,3,3911,1.4,44,1,0,0,3,12,0.2,160,13,6,1201,896,0,0,1,8,3
1344,1,2074,1.5,14,0,0,1,1,3,0.5,190,8,1,419,556,1,0,0,5,1
507,1,2124,1.9,45,1,0,1,1,6,0.7,142,6,0,17,1084,1,0,1,15,1
569,3,2351,0.5,4,1,0,1,10,19,0.8,170,8,7,351,1159,1,1,1,10,1
1232,2,2338,1.6,30,0,1,1,12,14,0.1,131,8,4,625,761,0,1,0,15,1
921,2,1080,0.6,60,0,1,0,1,3,0.1,83,10,0,1211,1229,0,0,1,6,0
1034,7,3625,2.7,37,1,1,1,6,20,0.7,120,17,1,707,1199,0,0,1,12,3
899,4,2870,2.7,13,1,1,1,3,11,0.3,192,19,16,954,1638,1,0,0,10,2
1110,8,624,1.5,12,0,0,0,2,5,0.3,153,9,7,961,1950,1,1,0,15,0
1195,7,3358,0.7,61,1,0,0,3,4,0.1,170,7,7,805,1076,0,1,0,19,3
686,6,570,0.5,3,1,0,1,11,15,0.3,91,7,6,1109,1392,0,0,0,19,0
1582,2,2678,0.5,44,0,1,0,2,13,0.5,101,7,10,1486,1797,1,1,0,10,3
1940,4,820,1.0,5,1,1,1,0,1,0.2,194,19,18,588,1809,1,1,1,3,1
1130,5,315,2.4,27,0,0,0,0,8,0.3,144,14,1,1495,1579,1,0,1,11,0
1448,7,3378,1.2,57,0,1,1,6,18,0.1,165,13,11,570,1724,1,1,1,2,3
1052,4,1305,2.9,6,0,1,0,1,3,0.8,195,6,0,925,1839,0,0,0,11,0
635,8,990,0.5,54,0,1,1,2,3,0.1,179,14,11,613,669,1,0,1,6,0
609,6,1905,0.5,37,1,1,1,0,6,0.6,81,16,3,113,1009,1,1,0,18,1
1412,3,1853,0.6,57,0,1,0,9,10,0.2,86,15,10,2,660,0,0,0,18,1
